participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,EV,best_nll,AIC,BIC
1,"[4.3967118571099, 0.5812884457996319, 0.528423196715751, 0.3229936333847271]",[1.11212610e+00 1.62214666e-01 1.00000000e-04 1.00000000e-04],[0.55339015 0.70130747 0.59730521 0.39642652],[6.06381221e-01 1.14281506e-01 2.79337267e-01 6.23465926e-09],[0. 0. 0. 0.],109.1613380548874,226.3226761097748,236.74335685372716
2,"[4.190995400283031, 0.31822433789708826, 0.004369461423877701, 0.4845644357004529]",[0.36258183 0.87623147 0.9999     0.498273  ],[0.5951157  0.54754561 0.41275183 0.76532985],[2.79524602e-14 6.55935215e-18 8.43508895e-10 9.99999999e-01],[0. 0. 0. 0.],136.22657775851766,280.4531555170353,290.8738362609877
3,"[2.9435062309105953, 0.13476889574197562, 0.03810857829754923, 0.3495148257727156]",[1.43335702e+00 1.00000000e-04 9.99900000e-01 1.00000000e-04],[0.00508395 0.00197372 0.00033794 0.00063177],[0.69359642 0.27986492 0.01326933 0.01326933],[0. 0. 0. 0.],99.25079665509945,206.5015933101989,216.92227405415127
4,"[2.1785802625051107, 0.7237082335423284, 0.500164477386162, 0.906977249903081]",[1.34084233e+00 1.12969434e-01 1.00000000e-04 9.99900000e-01],[0.82574924 0.68075142 0.27505144 0.24927982],[8.71118071e-01 1.28879937e-01 9.96161969e-07 9.96161969e-07],[0. 0. 0. 0.],83.90420563860398,175.80841127720797,186.22909202116034
5,"[0.28856007095096187, 0.09849513016389592, 0.40622176814394134, 0.2373696773582022]",[0.92856181 0.9999     0.4202471  0.23780322],[0.73529412 0.67647059 0.40477143 0.8094881 ],[1.e-24 1.e-24 1.e-20 1.e+00],[0. 0. 0. 0.],101.73580653138943,211.47161306277886,221.89229380673123
6,"[1.3782790013294635, 0.5303571861988632, 0.5291099735252158, 0.22416322358520058]",[1.43511132e+00 1.00000000e-04 9.99900000e-01 1.00000000e-04],[0.00443813 0.00273161 0.00060779 0.00015199],[0.60267821 0.37180367 0.01275906 0.01275906],[0. 0. 0. 0.],105.18954871257093,218.37909742514185,228.79977816909422
7,"[1.1391177557133494, 0.04310768536528983, 0.262362084011404, 0.7551771480439063]",[1.59285880e+00 1.00000000e-04 3.50449391e-01 1.00000000e-04],[0.00359215 0.00351053 0.0003899  0.00032894],[0.4868718 0.486939  0.0130946 0.0130946],[0. 0. 0. 0.],107.4281681263285,222.856336252657,233.27701699660938
8,"[4.43179318571871, 0.20712418777272568, 0.4195897037055112, 0.5508670624154205]",[1.000e-04 1.000e-04 1.000e-04 9.999e-01],[0.00177164 0.00094108 0.00140763 0.00149598],[0.48133985 0.2964102  0.11123434 0.11101561],[0. 0. 0. 0.],138.62943613632805,285.2588722726561,295.67955301660845
9,"[1.0182254541951246, 0.9375012318340625, 0.41192762482153744, 0.11432942438804733]",[1.07093522e+00 1.00000000e-04 9.99900000e-01 1.00000000e-04],[0.00294494 0.00186921 0.00098545 0.00045401],[0.55218022 0.37320684 0.0597539  0.01485904],[0. 0. 0. 0.],126.58104970163689,261.16209940327377,271.5827801472261
10,"[3.637748798879438, 0.9626275453046408, 0.5969291029870564, 0.8495058774734477]",[0.5811513  0.99292168 0.5969291  0.84950588],[0.59523809 0.54761905 0.40479152 0.80699584],[1.00000000e+00 3.15720058e-22 2.79978281e-26 1.76427419e-11],[0. 0. 0. 0.],129.56160413584922,267.12320827169845,277.5438890156508
