participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,EV,best_nll,AIC,BIC
32,"[3.441535774331467, 0.0773715799182385, 0.9867520642247612, 0.3594291561109277]",[0.87288549 0.8586169  0.9999     0.9999    ],[0.59503387 0.54749652 0.91587227 0.45851101],[6.69792028e-22 3.78379393e-26 1.00000000e+00 1.01841660e-17],[0. 0. 0. 0.],109.32165174920053,226.64330349840105,237.06398424235343
33,"[1.948558988937959, 0.9574319004851548, 0.0188664484215035, 0.21274620521360818]",[6.37541362e-01 9.99900000e-01 1.00000000e-04 2.11797591e-01],[0.5952381  0.54761904 0.4047619  0.8094881 ],[1.e-12 1.e-12 1.e+00 1.e-12],[0. 0. 0. 0.],126.70381230354417,261.40762460708834,271.8283053510407
34,"[3.221512301894883, 0.4775588757448956, 0.8423259310529594, 0.11890154578584769]",[6.56208253e-01 7.33515030e-01 1.00000000e-04 1.00000000e-04],[0.56419041 0.54629615 0.5212701  0.45734526],[1.47799355e-02 2.08131612e-01 7.77087049e-01 1.40344975e-06],[0. 0. 0. 0.],127.60340044571954,263.2068008914391,273.62748163539146
35,"[1.5459353823002433, 0.9445664976866427, 0.08296511842676846, 0.9228709200120618]",[0.8378706  0.81107342 0.9999     0.94469272],[0.59462288 0.54724994 0.49599633 0.50726059],[2.40683511e-04 9.99759315e-01 4.04102263e-13 1.67890447e-09],[0. 0. 0. 0.],113.56347993894013,235.12695987788027,245.54764062183264
36,"[2.076972432830508, 0.4354825858633028, 0.1332750888872312, 0.9246285502726328]",[1.43880167e+00 1.00000000e-04 6.39528219e-01 1.00000000e-04],[0.00381886 0.00271141 0.00056567 0.00030395],[0.54669676 0.39997242 0.04005978 0.01327104],[0. 0. 0. 0.],111.6974548767208,231.3949097534416,241.81559049739397
37,"[2.018031098875951, 0.1724458380307632, 0.03853461143432806, 0.40358262720345195]",[2.45073473e+00 1.92139218e-02 1.00000000e-04 9.99900000e-01],[0.49773293 0.45886368 0.03844811 0.01931377],[0.53255316 0.45919198 0.00412743 0.00412743],[0. 0. 0. 0.],92.01099472725288,192.02198945450576,202.44267019845813
38,"[3.1843290287678303, 0.39285514379892356, 0.016733924648846512, 0.8588663070989127]",[1.41013879 0.08599278 0.9999     0.84989916],[0.75709478 0.77889531 0.10008581 0.05564239],[2.73987136e-01 7.25982110e-01 1.53770032e-05 1.53770032e-05],[0. 0. 0. 0.],91.60001213234891,191.20002426469782,201.6207050086502
39,"[2.7709738736781295, 0.4225676210325865, 0.20820817279806778, 0.9991007168212207]",[1.68100517e+00 1.00000000e-04 9.99826839e-01 9.99900000e-01],[0.0058291  0.00158147 0.00013599 0.00025297],[0.75997765 0.21482744 0.01259746 0.01259746],[0. 0. 0. 0.],75.15961116245029,158.31922232490058,168.73990306885295
40,"[4.188421007014243, 0.1793599433145132, 0.9291525765389403, 0.8089864662094709]",[6.25722533e-01 9.99900000e-01 1.00000000e-04 9.99900000e-01],[0.59523809 0.1905119  0.4047619  0.45238095],[1.0000000e+00 9.9990001e-29 9.9990001e-29 9.9990001e-29],[0. 0. 0. 0.],127.91645519925132,263.83291039850263,274.253591142455
41,"[2.9816038909201508, 0.25343270880175855, 0.6098114923651943, 0.39913914903385933]",[1.16334658e+00 8.35369791e-01 1.00000000e-04 1.00000000e-04],[0.09793406 0.24923661 0.90206597 0.75076339],[6.07348475e-32 6.07348475e-32 7.01063437e-22 1.00000000e+00],[0. 0. 0. 0.],71.29367533040217,150.58735066080433,161.0080314047567
42,"[0.18465532186011263, 0.7689396464803745, 0.916429622984912, 0.4220397942866573]",[1.09142018 0.9999     0.91648374 0.42204076],[1.         0.32006    0.99994048 0.45241666],[1.e-24 1.e-24 1.e-24 1.e+00],[0. 0. 0. 0.],80.53643992490282,169.07287984980564,179.49356059375802
43,"[3.1469055075525305, 0.32902266318705276, 0.20785118859390062, 0.8240990229963774]",[0.68159093 0.99964652 0.00921249 0.78447952],[0.5952381  0.19060243 0.4047619  0.45238095],[1.00000000e+00 6.89516791e-25 2.82802277e-29 2.82802277e-29],[0. 0. 0. 0.],124.24431625290809,256.4886325058162,266.90931324976856
44,"[0.9692775913478052, 0.997081549982917, 0.013686766925925884, 0.44447578634421336]",[1.29498542e+00 1.00000000e-04 2.71815660e-01 1.00000000e-04],[0.00229964 0.00220074 0.00062852 0.0005589 ],[0.45072784 0.46483809 0.04220783 0.04222624],[0. 0. 0. 0.],125.43263186678347,258.86526373356696,269.2859444775193
45,"[4.216400650733105, 0.5452040644816706, 0.422841865102278, 0.03155095342834736]",[0.75817945 0.9999     0.9999     0.08743316],[0.5952381  0.54761905 0.4047619  0.45238095],[9.999e-13 1.000e+00 9.999e-13 9.999e-13],[0. 0. 0. 0.],119.0221854363725,246.044370872745,256.46505161669734
46,"[0.2349065029719158, 0.49928635405050287, 0.9751488062436856, 0.9624267038696478]",[0.35842772 0.71936254 0.9999     0.9626666 ],[0.16629945 0.54602269 0.83370055 0.52460671],[1.07037058e-04 7.80753938e-01 2.19138838e-01 1.86321022e-07],[0. 0. 0. 0.],136.77335473964567,281.54670947929134,291.9673902232437
47,"[1.8732431164159047, 0.3962504626838628, 0.44446719827003056, 0.7469582833095726]",[0.72666091 0.97946192 0.14521364 0.23844248],[0.59523799 0.54761899 0.40500783 0.80218878],[1.15430527e-27 1.15430527e-27 1.00000000e+00 1.33535805e-17],[0. 0. 0. 0.],121.10836183288595,250.2167236657719,260.63740440972424
48,"[3.0306410366240324, 0.24074812799752252, 0.39878714819444905, 0.12570636065720134]",[1.20457499e+00 8.54356779e-01 1.00000000e-04 7.16547831e-02],[0.14558723 0.91976934 0.47883299 0.93577034],[4.71401531e-31 4.71401531e-31 1.00000000e+00 4.71401531e-31],[0. 0. 0. 0.],63.576917621312155,135.15383524262433,145.57451598657667
49,"[2.4038475795964667, 0.22256597135500383, 0.31006105531396894, 0.09611174427060241]",[1.0533056e+00 1.0000000e-04 9.9990000e-01 1.0000000e-04],[0.0031412  0.0014217  0.00090804 0.00048394],[0.6175699  0.29427187 0.05879515 0.02936308],[0. 0. 0. 0.],123.31558731389339,254.63117462778678,265.0518553717391
50,"[2.161372238127308, 0.8373104405824245, 0.41716966419479207, 0.5741585243599916]",[0.67723727 0.9999     0.41475405 0.57364978],[0.5952381  0.1905119  0.99994048 0.45241666],[9.9990001e-21 9.9990001e-21 9.9990001e-05 9.9990001e-01],[0. 0. 0. 0.],124.37305334117065,256.7461066823413,267.16678742629364
51,"[0.1438595666440935, 0.038962700979947563, 0.9962883171496749, 0.5525366990730706]",[1.03642058 0.25720074 0.9999     0.55242676],[0.5139526  0.49771809 0.59650906 0.48851473],[2.43889172e-06 5.87441154e-05 1.03829419e-04 9.99834988e-01],[0. 0. 0. 0.],112.02957712621469,232.05915425242938,242.47983499638175
52,"[2.0648499306967265, 0.3598335004227111, 0.1545285352409924, 0.027872496033544816]",[6.64162355e-01 1.00000000e-04 9.99900000e-01 1.00000000e-04],[0.00176843 0.00156599 0.00102083 0.00091096],[0.44267312 0.40980799 0.08197612 0.06554278],[0. 0. 0. 0.],136.9523852870858,281.9047705741716,292.32545131812395
53,"[0.7935985656133343, 0.2800355977558445, 0.4661660623221879, 0.9533993548843458]",[1.32735308e+00 1.00000000e-04 9.84053213e-02 1.00000000e-04],[0.00248227 0.00171364 0.00082725 0.00071561],[0.53633492 0.36227479 0.05797129 0.043419  ],[0. 0. 0. 0.],127.3300335180566,262.6600670361132,273.08074778006556
54,"[0.15245861164383337, 0.7410957330409794, 0.1290404719268311, 0.13583599594135232]",[1.2403927e+00 1.0000000e-04 9.9990000e-01 1.0000000e-04],[0.00313481 0.00205955 0.00068692 0.00051469],[0.55727782 0.37133278 0.04286652 0.02852289],[0. 0. 0. 0.],122.34172282811245,252.6834456562249,263.1041264001773
55,"[3.208110822268345, 0.35036284870835505, 0.4817022782658703, 0.6051167094355416]",[0.93717177 0.69057451 0.9999     0.9999    ],[0.18301257 0.52393814 0.4442512  0.52898185],[8.81224667e-05 9.77148995e-01 6.54962103e-04 2.21079209e-02],[0. 0. 0. 0.],106.13578305379077,220.27156610758155,230.69224685153392
56,"[3.4376252029843473, 0.4571494931032494, 0.09205359442036379, 0.24067742888049656]",[8.48197204e-01 7.15019646e-02 1.00000000e-04 9.99900000e-01],[0.48673135 0.45446385 0.33008212 0.47809533],[0.59366282 0.16703112 0.00637041 0.23293565],[0. 0. 0. 0.],136.60513222762538,281.21026445525075,291.6309451992031
57,"[2.6110230756560444, 0.3110499491872081, 0.8923076838099391, 0.7867376108948262]",[0.97645135 0.9999     0.83621008 0.78574077],[0.59523809 0.54761905 0.4047619  0.8094881 ],[1.0000000e+00 9.9990001e-29 9.9990001e-29 9.9990001e-13],[0. 0. 0. 0.],95.82229635429586,199.64459270859172,210.0652734525441
58,"[4.5704752993087645, 0.5087130931613066, 0.10382875305352496, 0.8046783238259968]",[0.38521102 0.9999     0.9999     0.9999    ],[0.59523809 0.54761905 0.40476191 0.45238096],[9.9999999e-01 9.9999999e-09 9.9990000e-21 9.9990000e-21],[0. 0. 0. 0.],135.7004345548606,279.4008691097212,289.82154985367356
59,"[3.8361190746477893, 0.44721583248803287, 0.7477481736599546, 0.4879720516785912]",[0.55136448 0.9999     0.92644375 0.50097517],[0.59523809 0.1905119  0.40482142 0.45238096],[9.9999999e-05 9.9990000e-17 9.9990000e-01 9.9990000e-17],[0. 0. 0. 0.],130.86667504964046,269.7333500992809,280.1540308432333
60,"[3.5121431059290154, 0.6516110051046223, 0.4970253302688135, 0.3597156584726336]",[0.58196785 0.85267552 0.9999     0.9999    ],[0.08765792 0.40835915 0.47954089 0.45252442],[8.71594347e-01 2.72573997e-30 1.28405653e-01 2.02212419e-17],[0. 0. 0. 0.],130.16402383508532,268.32804767017063,278.748728414123
61,"[2.346421060224142, 0.40826881023631983, 0.5213618560943309, 0.9378076257128548]",[1.37248444e+00 1.00000000e-04 1.75327968e-01 1.00000000e-04],[0.00217852 0.00208709 0.00068692 0.00058287],[0.45719484 0.45721193 0.04278945 0.04280379],[0. 0. 0. 0.],125.44466459998235,258.88932919996466,269.31000994391707
62,"[2.5456119706921934, 0.8636470716403065, 0.5802138861051571, 0.3230270126245071]",[4.47505500e+00 1.00000000e-04 9.44091548e-01 9.99900000e-01],[0.00164726 0.00130047 0.00096582 0.00118188],[0.45633633 0.36837402 0.08763343 0.08765623],[0. 0. 0. 0.],136.18739063036696,280.3747812607339,290.79546200468627
63,"[0.14872085942715554, 0.8661658626144764, 0.25714893780734094, 0.4068759966559135]",[0.54717746 0.9999     0.25715369 0.4068761 ],[0.5952381  0.54761904 0.4047619  0.45241666],[1.0000000e-12 1.0000000e+00 9.9990001e-29 9.9990001e-25],[0. 0. 0. 0.],131.03264312640795,270.0652862528159,280.48596699676824
64,"[3.0148657248514854, 0.9862824245508647, 0.6698689143382714, 0.45381924385601524]",[0.96147695 0.9999     0.66933158 0.45354929],[5.95238095e-05 5.47583337e-01 4.04821423e-01 4.52380952e-01],[1.00010001e-12 1.00000000e+00 1.00000000e-28 1.00000000e-28],[0. 0. 0. 0.],97.72199285223182,203.44398570446364,213.86466644841602
65,"[0.11085683471888659, 0.15699986893941073, 0.30040828707626843, 0.9176548153498196]",[1.12890412e+00 9.19370606e-02 1.00000000e-04 9.99900000e-01],[0.46624895 0.46470087 0.50409989 0.37844546],[0.8332889  0.11375029 0.05068492 0.00227589],[0. 0. 0. 0.],130.9640182611178,269.9280365222356,280.3487172661879
66,"[4.132309676697022, 0.17716404385704293, 0.12066660423743178, 0.3911993342911695]",[0.93254764 0.14075272 0.9999     0.9999    ],[0.51195456 0.49123313 0.54327656 0.46639462],[0.26905931 0.56849647 0.15794615 0.00449807],[0. 0. 0. 0.],124.8909561633261,257.7819123266522,268.20259307060456
67,"[3.9553129694746736, 0.49173972947863753, 0.8386201080987269, 0.6809300286241383]",[1.78706228e+00 1.00000000e-04 9.91705545e-01 9.99900000e-01],[0.00372412 0.00065848 0.00078176 0.00120747],[0.69825556 0.15872951 0.06355265 0.07946228],[0. 0. 0. 0.],117.86232908551541,243.72465817103082,254.1453389149832
68,"[1.0221982410772807, 0.8683585928387274, 0.49965700905252947, 0.6256515857131608]",[8.3046273e-01 1.0000000e-04 9.9990000e-01 1.0000000e-04],[0.00239458 0.00123985 0.00135002 0.00058506],[0.53107374 0.32821608 0.09376964 0.04694054],[0. 0. 0. 0.],133.31513255409484,274.6302651081897,285.05094585214204
69,"[1.0793713684465203, 0.9421712822764503, 0.9172572099273012, 0.34040659169423715]",[0.67723855 0.9999     0.91710168 0.3403454 ],[0.5952381  0.54761905 0.4047619  0.8094881 ],[1.0000000e-08 9.9999999e-01 9.9990000e-29 9.9990000e-29],[0. 0. 0. 0.],124.3730161796262,256.7460323592524,267.16671310320476
70,"[1.880785020628294, 0.9981918303502698, 0.7002198560097835, 0.9726445137666528]",[0.99093584 0.03819096 0.3063285  0.9999    ],[0.44973552 0.4776763  0.29353426 0.18960367],[0.40064149 0.43798719 0.08277479 0.07859654],[0. 0. 0. 0.],132.41915924531366,272.83831849062733,283.2589992345797
71,"[0.6847140830072191, 0.4516487689199879, 0.5536467935042627, 0.9524843109833478]",[0.76542597 0.64407726 0.9999     0.9999    ],[0.54639222 0.46527667 0.79082827 0.48169872],[3.36471821e-01 6.63527831e-01 3.47390364e-07 1.81885482e-13],[0. 0. 0. 0.],122.63846453262147,253.27692906524294,263.6976098091953
72,"[2.9913220812304946, 0.4361094523847617, 0.6112867780176721, 0.9434548710551102]",[4.99990000e+00 2.96774413e-04 5.98155985e-01 9.99900000e-01],[0.00605762 0.00674864 0.00131139 0.00332259],[0.42721066 0.48470435 0.02933143 0.05875357],[0. 0. 0. 0.],127.15551792863815,262.3110358572763,272.73171660122864
73,"[0.8262521028007526, 0.8589647120138405, 0.9467571271097689, 0.6084377171026235]",[0.75950458 0.9999     0.94676    0.60843772],[0.5952381  0.54758334 0.99995    0.8094881 ],[1.000e-04 9.999e-01 9.999e-29 9.999e-29],[0. 0. 0. 0.],118.52911711939076,245.05823423878152,255.4789149827339
74,"[3.924622565961306, 0.29230140490296797, 0.8182296627713933, 0.8047787517353575]",[1.26611947e+00 7.17803781e-02 1.00000000e-04 9.99900000e-01],[0.46718204 0.42108627 0.46790856 0.27645071],[0.48270971 0.46897929 0.04568115 0.00262985],[0. 0. 0. 0.],133.1512533747569,274.3025067495138,284.7231874934661
75,"[2.0355865955493075, 0.19127004367622638, 0.18366741703029743, 0.2268907738816089]",[1.12300286e+00 7.55978711e-02 9.99900000e-01 1.00000000e-04],[0.48887807 0.44037922 0.30826389 0.3605375 ],[0.46848707 0.42670724 0.0627605  0.04204519],[0. 0. 0. 0.],110.52504414541646,229.05008829083292,239.4707690347853
76,"[3.0950078379559183, 0.02115945599025088, 0.9930246015639391, 0.04094466108571627]",[1.03072468 0.75504862 0.9999     0.9999    ],[0.99727932 0.36877419 0.51494849 0.89226801],[1.17196167e-14 3.25532109e-12 9.99999989e-01 1.14297973e-08],[0. 0. 0. 0.],96.49442908151698,200.98885816303397,211.40953890698634
77,"[3.3292936893418803, 0.09579329509474245, 0.3063788813749632, 0.8721123800093858]",[1.0946024  0.52465433 0.9999     0.9999    ],[0.5791292  0.512481   0.55690187 0.64754908],[6.27050776e-07 1.91828250e-13 9.99999373e-01 4.31828194e-32],[0. 0. 0. 0.],88.2049079480233,184.4098158960466,194.83049663999898
78,"[2.4672814761097563, 0.9613406409274519, 0.3915554310280602, 0.21533227958565557]",[1.54523557e+00 2.07922076e-03 4.14439568e-01 1.00000000e-04],[0.07647304 0.05849699 0.0071317  0.00874846],[0.54148257 0.40602521 0.02623117 0.02626105],[0. 0. 0. 0.],107.51360175271671,223.02720350543342,233.4478842493858
79,"[2.1234859640765413, 0.952269262420788, 0.002688295104769336, 0.5963849600616857]",[9.72554385e-01 2.93483378e-01 1.89678857e-01 1.00000000e-04],[0.53540655 0.50740864 0.61677713 0.57967288],[3.95074577e-08 3.06928722e-08 5.45535349e-03 9.94544576e-01],[0. 0. 0. 0.],116.32336730565378,240.64673461130755,251.06741535525993
80,"[2.7850147063767543, 0.8913608771126176, 0.21384470226872968, 0.0062892355708586605]",[1.3126414  0.11950367 0.9999     0.9999    ],[0.74610377 0.73602215 0.15281383 0.28199259],[6.57838644e-01 3.42160168e-01 5.93775431e-07 5.93775431e-07],[0. 0. 0. 0.],79.70578897361801,167.41157794723603,177.8322586911884
81,"[0.16823413914492677, 0.12699908937731857, 0.6089055691093083, 0.9584191135793356]",[1.08809999e+00 1.72114866e-01 1.00000000e-04 9.99900000e-01],[0.56188267 0.60952607 0.51952389 0.53157384],[5.24375028e-04 1.61122942e-04 9.93000203e-01 6.31429922e-03],[0. 0. 0. 0.],116.08917928337571,240.17835856675143,250.5990393107038
82,"[3.0691155581727325, 0.1218732694645923, 0.029120859314254295, 0.04800401067207293]",[1.000e-04 1.000e-04 1.000e-04 9.999e-01],[0.00164985 0.00107717 0.00125968 0.00157969],[0.45279715 0.32074407 0.09427757 0.13218121],[0. 0. 0. 0.],138.62943621797237,285.25887243594474,295.6795531798971
