participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,EV,best_nll,AIC,BIC
1,"[3.2427710615696226, 0.04337103893746739, 0.3017095473218502, 0.6283068362267854]",[0.91702437 0.80573759 0.9999     0.9999    ],[0.59459358 0.54724474 0.88450552 0.48647763],[1.42212246e-03 9.98577816e-01 6.16882312e-08 9.57370519e-21],[0. 0. 0. 0.],105.93028040420668,219.86056080841337,230.28124155236574
2,"[1.7711072869224407, 0.6907315805408204, 0.4362510260544506, 0.14870360599883164]",[1.32248096e+00 1.39727823e-01 1.00000000e-04 9.99900000e-01],[0.492827   0.48568623 0.56179662 0.5310209 ],[2.12277003e-04 4.76790803e-04 9.97376932e-01 1.93399974e-03],[0. 0. 0. 0.],105.59965996152202,219.19931992304404,229.62000066699642
3,"[0.6208668540759884, 0.3481008819419973, 0.038191553340653606, 0.9565722191681455]",[0.38521424 0.9999     0.9999     0.99910198],[0.5952381  0.54761905 0.4047619  0.8094881 ],[1.000e-12 1.000e+00 9.999e-17 9.999e-17],[0. 0. 0. 0.],135.70031980655804,279.4006396131161,289.82132035706843
4,"[2.2769778867455623, 0.26386948739471655, 0.8213632628239774, 0.7937495163232356]",[1.07555098 0.26647512 0.9999     0.9999    ],[0.51575716 0.42817028 0.51321271 0.5686365 ],[0.94246547 0.00245305 0.0537766  0.00130488],[0. 0. 0. 0.],111.1677776177834,230.3355552355668,240.75623597951918
5,"[2.133277518958177, 0.8749058443497024, 0.8573175657876544, 0.9971832143339294]",[9.54308762e-01 1.86576100e-01 1.00000000e-04 9.99900000e-01],[0.48968819 0.61546267 0.57113334 0.43393748],[3.59995931e-01 4.25040452e-01 2.14641070e-01 3.22547540e-04],[0. 0. 0. 0.],119.76352857251132,247.52705714502264,257.947737888975
6,"[4.070579294456163, 0.7163802913952259, 0.10224881825047127, 0.20996488167796504]",[4.59281216e-03 1.00000000e-04 9.99900000e-01 2.91537438e-01],[0.0015142  0.00141167 0.00114194 0.00126718],[0.41824645 0.39997775 0.09090246 0.09087334],[0. 0. 0. 0.],138.6294058046496,285.2588116092992,295.67949235325153
7,"[0.978472178776732, 0.15557577959177268, 0.4669440628412752, 0.5806155471483895]",[1.10897411e+00 1.00000000e-04 9.99900000e-01 1.00000000e-04],[0.00191105 0.00266736 0.00077726 0.0007691 ],[0.37297236 0.53753265 0.04474973 0.04474525],[0. 0. 0. 0.],128.6249208116973,265.2498416233946,275.67052236734696
8,"[4.342240062719228, 0.8338884815951931, 0.9272911051162157, 0.4285106554809758]",[8.88108915e-01 1.01223593e-01 1.00000000e-04 9.99900000e-01],[0.46767116 0.42625521 0.4955316  0.4390995 ],[0.4850643  0.27683148 0.17725333 0.06085088],[0. 0. 0. 0.],135.6116001985589,279.2232003971178,289.64388114107015
9,"[4.925296607726453, 0.5226463493602176, 0.14420310253002844, 0.986808060355077]",[1.09227756 0.5039021  0.9999     0.9999    ],[0.57686126 0.5549129  0.48086846 0.12597552],[1.02152309e-01 2.32036991e-09 8.97847689e-01 2.64873735e-30],[0. 0. 0. 0.],91.94659383427465,191.8931876685493,202.31386841250168
10,"[2.232881477784074, 0.10581520822728711, 0.021036969086357528, 0.1881149006882999]",[2.1157013e+00 1.5866587e-02 1.0000000e-04 9.9990000e-01],[0.25121883 0.20848304 0.19448099 0.04400629],[0.52995437 0.3605896  0.08937277 0.02008327],[0. 0. 0. 0.],130.08853208601994,268.1770641720399,278.5977449159922
11,"[4.9602753639553985, 0.07111953616568949, 0.06417324156707635, 0.13447056561288726]",[0.78488642 0.77668976 0.9999     0.9999    ],[0.13266588 0.54692886 0.50805901 0.72992428],[2.09131696e-23 3.11710342e-20 1.00000000e+00 1.71249516e-10],[0. 0. 0. 0.],120.08213679073305,248.1642735814661,258.58495432541844
12,"[2.8492771021223415, 0.2453710448463713, 0.2889354211930606, 0.11242985966052924]",[8.91499446e-01 2.99959321e-01 6.61827967e-04 1.00000000e-04],[0.60487459 0.52693853 0.61920288 0.51548968],[5.23299760e-08 5.73942708e-02 5.12449626e-07 9.42605164e-01],[0. 0. 0. 0.],121.21286287253719,250.42572574507437,260.8464064890267
13,"[1.8922893742627933, 0.4075403860660029, 0.7930028828705945, 0.22771544075298264]",[1.06208477e+00 1.49778787e-01 9.99900000e-01 1.00000000e-04],[0.57975914 0.645454   0.54281306 0.36101616],[0.17437015 0.46888704 0.14415026 0.21259256],[0. 0. 0. 0.],118.37514735540344,244.75029471080688,255.17097545475926
14,"[3.8957238077497243, 0.12265002219994019, 0.6315113558775898, 0.27131573490152033]",[1.68558747e+00 1.00000000e-04 5.90846150e-01 1.00000000e-04],[0.00287025 0.00341784 0.00028936 0.        ],[0.4124113  0.55019004 0.02495823 0.01244043],[0. 0. 0. 0.],98.99171775908832,205.98343551817663,216.404116262129
15,"[3.020029534685891, 0.1464773548231259, 0.08840670189710888, 0.6693980034737208]",[1.29046745e+00 2.83079669e-02 9.99900000e-01 1.00000000e-04],[0.60836531 0.37343694 0.05103351 0.1211933 ],[0.64743523 0.32900336 0.00232453 0.02123687],[0. 0. 0. 0.],100.01374594949132,208.02749189898265,218.44817264293502
16,"[1.948592516764436, 0.0003969579471300505, 0.21662555691905933, 0.013960787114206476]",[0.91504923 0.60588727 0.00308139 0.9999    ],[0.59024546 0.53555148 0.42705103 0.67121235],[6.86167596e-16 1.31926420e-06 9.99998680e-01 5.00300746e-10],[0. 0. 0. 0.],108.59049464503684,225.18098929007368,235.60167003402606
17,"[4.657385242559381, 0.39057144848443137, 0.39733667615033835, 0.5825830320856544]",[1.26902849e+00 6.87914374e-03 9.99900000e-01 1.00000000e-04],[0.17964977 0.11725791 0.04783664 0.02652982],[0.60877548 0.32415079 0.04127665 0.02579708],[0. 0. 0. 0.],119.62187403518327,247.24374807036654,257.6644288143189
18,"[1.1725020201791834, 0.2105238923968823, 0.6691698618680618, 0.9614757976617125]",[1.00571334 0.42942763 0.9999     0.9999    ],[0.56694655 0.39798711 0.50869081 0.51556507],[9.99332911e-01 6.56174480e-04 1.08749015e-05 3.97679032e-08],[0. 0. 0. 0.],107.9990284434808,223.9980568869616,234.41873763091397
19,"[0.33637521518480706, 0.5288954464915341, 0.902711736543536, 0.8921312173746921]",[0.37950092 0.9999     0.9009647  0.89207256],[0.5952381  0.1905119  0.40482142 0.8094881 ],[1.e-24 1.e-24 1.e+00 1.e-20],[0. 0. 0. 0.],135.7815130688122,279.5630261376244,289.9837068815767
20,"[2.962885042877709, 0.7934872548971099, 0.9051514430975423, 0.5356353827307938]",[1.25731701e+00 2.25563572e-01 1.00000000e-04 1.00000000e-04],[0.51214292 0.49528448 0.58303755 0.51935178],[1.73410357e-07 4.82831934e-07 5.65610339e-07 9.99998778e-01],[0. 0. 0. 0.],84.84758417649505,177.6951683529901,188.11584909694247
21,"[3.0332566098328932, 0.7380272081190685, 0.7948415433204177, 0.028066158507338845]",[1.35325847e+00 4.75263023e-02 9.99900000e-01 1.00000000e-04],[0.77488635 0.64625851 0.11295231 0.11355836],[5.01819345e-01 4.97197269e-01 4.91693281e-04 4.91693281e-04],[0. 0. 0. 0.],100.01701736110128,208.03403472220256,218.45471546615494
22,"[3.994678525563262, 0.32310670637277444, 0.7632114141420234, 0.8633793837412704]",[1.59566318 0.43270635 0.01391888 0.9999    ],[0.91607062 0.55432064 0.         0.10817659],[5.45661408e-01 4.54338592e-01 3.39278406e-25 3.39278406e-25],[0. 0. 0. 0.],24.002828321449343,56.005656642898686,66.42633738685106
23,"[0.301373967831105, 0.6649562009305461, 0.9260369403072961, 0.08973696857987261]",[0.6650384  0.9280524  0.92618868 0.0897405 ],[0.59503236 0.52377217 0.40762145 0.45239478],[5.54477101e-03 9.94455229e-01 1.37656627e-15 1.38219379e-31],[0. 0. 0. 0.],126.02097429509644,260.0419485901929,270.4626293341452
24,"[3.8247589600012346, 0.3255014454105704, 0.4726118023307284, 0.980522002820908]",[1.41446806e+00 1.00000000e-04 9.90662505e-01 9.99900000e-01],[0.00231611 0.00155567 0.00107073 0.0011376 ],[0.47492824 0.36086749 0.08209633 0.08210793],[0. 0. 0. 0.],134.10553235377415,276.2110647075483,286.63174545150065
25,"[4.199895784205655, 0.9722003282494927, 0.3120444894778766, 0.39205384014949884]",[1.17250813 0.21635025 0.03109661 0.9999    ],[0.5468851  0.76486001 0.58755868 0.63470232],[6.54818609e-01 5.14594280e-07 3.45178880e-01 1.99677399e-06],[0. 0. 0. 0.],103.44709090588654,214.89418181177308,225.31486255572545
26,"[0.9406442946740428, 0.0804118581418859, 0.32272859537037235, 0.2498520494998182]",[1.27669363e+00 5.87260020e-02 9.99900000e-01 1.00000000e-04],[0.7998307  0.65557205 0.19233273 0.13842994],[4.93712424e-01 4.27454062e-01 7.86123444e-02 2.21169464e-04],[0. 0. 0. 0.],104.78710607848431,217.57421215696863,227.994892900921
27,"[2.281795159470191, 0.35589775575914434, 0.1983422800053153, 0.0553761945314268]",[6.63635366e-01 9.99900000e-01 1.00000000e-04 5.97744571e-02],[0.59523809 0.54761905 0.99994048 0.8094881 ],[1.00000000e-28 1.00010001e-20 1.00000000e+00 1.00000000e-28],[0. 0. 0. 0.],125.3381326614462,258.6762653228924,269.09694606684474
28,"[3.3817524117074567, 0.4466831541183435, 0.7663642849824424, 0.4347016288244299]",[1.71182896e+00 1.00000000e-04 9.99900000e-01 1.00000000e-04],[0.00448748 0.00313608 0.00011799 0.00017699],[0.56798964 0.40743778 0.01228629 0.01228629],[0. 0. 0. 0.],92.42273287825245,192.8454657565049,203.26614650045727
29,"[4.132856530711312, 0.2333511772924299, 0.919707464059763, 0.07353114695954434]",[1.24546359e+00 4.09473660e-01 2.47344312e-02 1.00000000e-04],[0.5430575  0.75848505 0.49633317 0.62457449],[1.45879351e-12 2.33835668e-17 1.00000000e+00 5.99577776e-23],[0. 0. 0. 0.],71.80151869778139,151.60303739556278,162.02371813951515
30,"[4.923902005791126, 0.4326022244869479, 0.857356659830196, 0.6822532622225532]",[0.75949484 0.9999     0.9999     0.69093994],[5.95238095e-05 1.90511905e-01 9.99940476e-01 8.09488095e-01],[1.e-28 1.e-28 1.e+00 1.e-12],[0. 0. 0. 0.],118.52922344774544,245.05844689549087,255.47912763944325
31,"[0.4529888485545025, 0.05364201224119637, 0.7351597668508214, 0.10416181656009262]",[1.41021203e+00 1.00000000e-04 9.99900000e-01 1.00000000e-04],[0.00558044 0.00194878 0.00018598 0.00017699],[0.71250862 0.26261038 0.0124405  0.0124405 ],[0. 0. 0. 0.],88.0470607903815,184.094121580763,194.51480232471536
