participant_id,best_initial_guess,best_parameters,EV_Gau,EV_Dir,EV,best_weight,best_obj_weight,best_nll,AIC,BIC
1,"[4.019835418307298, 0.3310809126106206, 0.6893197842208859, 3.308198658882132]",[9.18494660e-01 8.02785704e-01 1.00000000e-04 1.00000000e-04],[0.59455677 0.54722362 0.8827588  0.48715242],[1.51041775e-03 9.98489511e-01 7.14684015e-08 1.45504226e-20],[0. 0. 0. 0.],"[0.0005645220433053294, 0.018996658167767144, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8495752963879488, 0.9948619358145797, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",105.83312230525814,219.6662446105163,230.08692535446863
2,"[2.4485616529789067, 0.2922579209310143, 0.9818476057957514, 1.6635403797974169]",[1.33221176e+00 1.39350361e-01 1.00000000e-04 1.20500231e+00],[0.49273211 0.48550787 0.56167366 0.53076564],[2.17710428e-04 4.87785930e-04 9.97328268e-01 1.96623540e-03],[0. 0. 0. 0.],"[0.0005645220433053294, 0.0004866459638343207, 0.0004437033556099818, 0.00020696611866572812, 0.00022805014594734344, 0.00046494182692189795, 0.001097768363545837, 0.001689974771575918, 0.002720976849744472, 0.005094870307642289, 0.010364691006030336, 0.017769403473450764, 0.035153873336397704, 0.17097443102784088, 0.3946312626365395, 0.8250317252451256, 0.9740977390623546, 0.99773764169173, 0.9998591433390526, 0.9999945413637437, 0.9999998132481129, 0.9999999966374707, 0.9999999999822382, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.00028480315468946044, 0.0002922010988802205, 0.00037389418381226017, 0.0003854141764990108, 0.0004272622607585091, 0.0005135794737305613, 0.00067757171158036, 0.0006309159935731265, 0.0008184351540787374, 0.0018028644734908038, 0.0012135521032043694, 0.0027177587269492337, 0.007144320497427064, 0.013275692252845509, 0.0297556907331804, 0.08103365104836001, 0.2980419398861914, 0.7289632768330655, 0.9356349517971781, 0.9905167634264224, 0.9991095179556052, 0.999947899523132, 0.006757721455890585, 0.014613961491961935, 0.03755349791880315, 0.1134511742188066, 0.00028280715537324405, 0.00037839148281670594, 0.0005608195505419734, 0.0009388457651415013, 0.0018156143115002567, 0.011412002024829775, 0.030522579689292516, 0.098094340759998, 0.3312577214814084, 0.7570069075795153, 0.6882292117260409, 0.941135392455573, 0.9942020417580301, 0.9996562056227639, 0.9999881100969273, 0.9999999630599145, 0.9999999996913889, 0.9999999999988899, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8495752963879488, 0.8295941214411011, 0.8161277733938758, 0.6742546458446591, 0.6951956938475012, 0.8230437968629949, 0.916587764657185, 0.944217170865644, 0.9646409205480065, 0.9808445589641772, 0.990541226846109, 0.9945021892665837, 0.9972626026715051, 0.9995153037743203, 0.9998466070813339, 0.9999787908686804, 0.9999973406382652, 0.9999997732285564, 0.9999999859109409, 0.9999999994540788, 0.9999999999813229, 0.9999999999996637, 0.9999999999999982, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7401624207637394, 0.7450652774385444, 0.7890280357200903, 0.7940370520049037, 0.8103913673762444, 0.8370783558203256, 0.8714592359040318, 0.8632480817576792, 0.8911888694464055, 0.9475324526160631, 0.9239488841407173, 0.9646004234944215, 0.9862919986965699, 0.992621539151454, 0.99674957194793, 0.9988671162452464, 0.9997645086655805, 0.9999628165424688, 0.9999931200686383, 0.999999042502231, 0.9999999108635234, 0.9999999947891598, 0.9855135838446556, 0.9933017235653756, 0.9974434287073501, 0.9992190956888789, 0.7388071478745566, 0.7910122143005442, 0.8487319499265219, 0.9038123079884376, 0.9478823252213531, 0.9914108420514668, 0.996833478005481, 0.9990813259850804, 0.9997981408097693, 0.999967898629387, 0.999954697092535, 0.9999937447760633, 0.9999994167649562, 0.9999999656053005, 0.9999999988108766, 0.9999999999963056, 0.9999999999999691, 0.9999999999999999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",105.56601084135508,219.13202168271016,229.5527024266625
3,"[0.24179876114573207, 0.3422340752562521, 0.42221218301696223, 0.409848167287624]",[0.38521425 0.9999     0.43545602 0.39841236],[0.5952381  0.54761905 0.4047619  0.8094881 ],[1.000e-12 1.000e+00 9.999e-17 9.999e-17],[0. 0. 0. 0.],"[0.8133079601292917, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8495752963879488, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",135.70031980655796,279.4006396131159,289.82132035706826
4,"[4.79645828464693, 0.09041574539823026, 0.08064574748270463, 1.0012647684847953]",[1.05382545e+00 2.69347887e-01 1.00000000e-04 1.75878555e+00],[0.51625422 0.42744966 0.51325411 0.56984998],[0.94349425 0.00229666 0.05298261 0.00122648],[0. 0. 0. 0.],"[0.0005645220433053294, 0.0005099830667381368, 0.0011107674456415008, 0.0021442234929663624, 0.007891076813971302, 0.037643261197689466, 0.30933853841160996, 0.8849714191293673, 0.9983393843995657, 0.9999818121313929, 0.9999999960480013, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8495752963879488, 0.8361172258176903, 0.9174843569232908, 0.9555282040949074, 0.987582338103685, 0.9974497467681508, 0.9997767570967724, 0.9999870008695229, 0.9999998336456091, 0.9999999981809982, 0.9999999999996048, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",110.96834664138537,229.9366932827707,240.35737402672308
5,"[1.057453177484859, 0.21562716896523074, 0.39164064833509465, 1.4043639107721442]",[9.43486057e-01 1.78547942e-01 1.00000000e-04 1.66146754e+00],[0.4908569  0.61656198 0.56685106 0.42761776],[0.36361792 0.42181034 0.21414114 0.0004306 ],[0. 0. 0. 0.],"[0.0005645220433053294, 0.0005245515017326694, 0.0004947303384634568, 0.0002664115537497919, 0.00034522245797343664, 0.0010325373141514375, 0.0024911210917469796, 0.005484902640250852, 0.013536090613540505, 0.045623288631592714, 0.17844899502294748, 0.5063789428624317, 0.9249536885794869, 0.9963198807129102, 0.9999168009901183, 0.999999201514836, 0.9999999957604824, 0.9999999999955596, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8222495108319159, 0.9927256679825905, 0.9997180832279693, 0.9999981826489345, 0.9999999898746685, 0.9999999999944494, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8495752963879488, 0.839942204471687, 0.8319117889766062, 0.7271158681584196, 0.7754358952966216, 0.9117777722918947, 0.9614954036185188, 0.9821892960112598, 0.9927643499725973, 0.9979122953841746, 0.9995397816403957, 0.9999025191888912, 0.9999918857334457, 0.9999996305919366, 0.9999999916785747, 0.9999999999201434, 0.999999999999576, 0.9999999999999996, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999783807201548, 0.9999992671636861, 0.9999999717975534, 0.9999999998182464, 0.9999999999989874, 0.9999999999999994, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",119.10697972434582,246.21395944869164,256.634640192644
6,"[3.0106654851583157, 0.5513478178958254, 0.09173549183818273, 4.984017615903952]",[1.00000000e-04 9.74755131e-02 8.75966313e-01 4.99990000e+00],[0.47025671 0.45571393 0.45771265 0.47000821],[0.52504666 0.3754378  0.05601186 0.04350368],[0. 0. 0. 0.],"[0.975542298426524, 0.9685716464385136, 0.964920316751192, 0.9619828435568213, 0.9094347838951209, 0.9595301795603716, 0.9614616469579704, 0.9769554239363195, 0.9827765564249725, 0.9881283956806833, 0.9911356412694555, 0.9941992164303093, 0.9961435283595621, 0.9967636247669094, 0.9965889295946834, 0.9973980676631096, 0.9988102850734161, 0.9995087352614265, 0.9998020271341959, 0.9999024274157315, 0.9999678463666013, 0.9999875189092805, 0.9999967044899739, 0.999776138559798, 0.9999048468704497, 0.9552357617404268, 0.9606194412969894, 0.9578185618979568, 0.9652085781905435, 0.9638089265836959, 0.9715013311704735, 0.9717931835245348, 0.9736756952230927, 0.9752862116269552, 0.9780181426409622, 0.9808797903812416, 0.9841411732670955, 0.9924108317846768, 0.9942843930879334, 0.9970011295549528, 0.981021182519386, 0.9882496592817522, 0.9904722317594268, 0.9942628019964279, 0.9957918777871422, 0.9979141999391746, 0.9154709143541492, 0.92890059626719, 0.9286108501611741, 0.9451681598172645, 0.9467358666727493, 0.9607737141157656, 0.9639083209515831, 0.9681673415696589, 0.9724926032656296, 0.9777301626362356, 0.9824297553513499, 0.991453082924599, 0.9939282460846894, 0.9972133376354105, 0.9595002929157472, 0.973171406523455, 0.9774515745985737, 0.9861506084765148, 0.9893423491816549, 0.994302772118134, 0.8796039257519132, 0.9003563962931764, 0.9011225953648643, 0.9236410913382271, 0.9268456932851993, 0.9467920989025665, 0.9525504362615367, 0.9581250375793647, 0.9647736036012904, 0.9712422060456427, 0.9855755736315015, 0.9893694968295972, 0.9944220483604945, 0.9963404169221717, 0.9985290104667695, 0.9991730375284904, 0.9996964582859517, 0.9773133384036348, 0.9866180294529581, 0.8213675021148523, 0.8423116264034866, 0.8393119921932132, 0.8685861639445719, 0.8921314056270534, 0.8943526242018345, 0.9002702295555312, 0.9062581724631606, 0.9150483737297627, 0.9245429127224273, 0.9549492279413478, 0.962863846675093, 0.9787699558425571, 0.9840585443412828, 0.9922528697382724]","[0.8495752963879488, 0.8135641477513169, 0.7957026366929938, 0.7817996170239195, 0.5870973117247464, 0.7704957883956972, 0.7793747283433595, 0.8572012171773226, 0.8898623552149386, 0.9217877603202655, 0.9405896415024664, 0.9604246910465073, 0.9733865416691811, 0.9775834748742324, 0.9763979760218022, 0.9819096587202891, 0.9916580116028906, 0.9965408304585837, 0.9986035271248166, 0.999311317982519, 0.9997729648185822, 0.9999118611393099, 0.9999767264993117, 0.9984211602398658, 0.9993283850137625, 0.7513404479586615, 0.7754824769760077, 0.7627658834695776, 0.7970890071522685, 0.7903946879902548, 0.8283830660023402, 0.8298839332245643, 0.8396749047636097, 0.8482054883526376, 0.8630121264410223, 0.8789931134045986, 0.8978232146293561, 0.9487602596290738, 0.9609863398498604, 0.9791991616663642, 0.8797956153763687, 0.9225335412298381, 0.9363861591927028, 0.9608439166972116, 0.9710201742702846, 0.9854533399075766, 0.6052928925733341, 0.6491143124598959, 0.6481162987833343, 0.7093681647569055, 0.7156494239703582, 0.7761930462412282, 0.7908670014503176, 0.8115537424097815, 0.8334992641832593, 0.8614309456516246, 0.8878581678563612, 0.9426123799831523, 0.95864165271601, 0.9806466314745232, 0.770359711312463, 0.8370332430675226, 0.8599059543109943, 0.9097670036390038, 0.9293001266584128, 0.9611076034053921, 0.5084767769959652, 0.5612942555989237, 0.563403374584235, 0.6313713478864963, 0.6420887893164943, 0.7158764041710387, 0.7397561036329245, 0.7641405673789724, 0.7949985646955973, 0.8270542906586602, 0.9063217490583408, 0.9294693132325804, 0.961895214967305, 0.9747157770957796, 0.989703215379962, 0.9941888546653642, 0.9978602270486672, 0.8591509301193496, 0.9125838724844669, 0.39433304481157905, 0.43063884575891764, 0.42515256744683916, 0.4834412963553447, 0.5393994554868767, 0.5451811180931231, 0.5610578279395216, 0.5778626065793357, 0.6039905556923282, 0.6343585017683987, 0.7500902377591532, 0.7859269606792272, 0.8671630796277708, 0.8973377603938304, 0.9477415906787815]",138.38797792457825,284.7759558491565,295.19663659310885
7,"[1.5585121628313436, 0.513511383529191, 0.9190384249827892, 2.4418329328878126]",[0.83071094 0.07788767 0.17108678 2.47194712],[0.48077139 0.50586596 0.35956044 0.37205013],[0.20348539 0.75835704 0.01991446 0.01824311],[0. 0. 0. 0.],"[0.5382574266360581, 0.40761802424358756, 0.4504551297398224, 0.26912302145544065, 0.2767728160458266, 0.3671140118276387, 0.47643960860679674, 0.5071653955991782, 0.540693315141529, 0.5897384474425662, 0.6396404904029417, 0.6380952420335557, 0.6393160927517509, 0.7872999114953234, 0.8572516057649172, 0.9043873746964843, 0.9355081495859392, 0.9586102653129175, 0.9736547455525071, 0.9839911634404935, 0.9904740532289519, 0.994602196372437, 0.9970405554228726, 0.9980925517574565, 0.9988202097146603, 0.9992874930285267, 0.9996235756351969, 0.9998605557401591, 0.999950870863326, 0.9999840789749842, 0.9999952100970033, 0.999998696032878, 0.9999996778668819, 0.9999999293513792, 0.9999999862685769, 0.9999999971832605, 0.9999999994899826, 0.9999999999230774, 0.9999999999925705, 0.999999999999412, 0.9999999999999619, 0.9999999999999979, 1.0, 0.9999999978825191, 0.9999999996207865, 0.39899292825803, 0.3950165229186084, 0.3776058494606167, 0.36605032175436303, 0.43615867430498667, 0.45779643408635395, 0.5058863137619889, 0.569277769258338, 0.6229547271679202, 0.6838256363637198, 0.7434708613998249, 0.7645927389086281, 0.7787711315207108, 0.7979218979810977, 0.8509850893235261, 0.8763124428269687, 0.8964646758146316, 0.9169529437085471, 0.9533498090503626, 0.9733251823910211, 0.9860240444336804, 0.992736915752208, 0.9965078609683657, 0.9983687615621872, 0.9992932872873899, 0.9997105847916393, 0.9998682384608473, 0.9999425852602897, 0.9857262814109704, 0.23087903683626285, 0.25908334596315025, 0.2933859937534817, 0.2918324809530876, 0.3372620893934265, 0.3885844113138094, 0.39364104562946634, 0.4234215954606455, 0.47010674173471384, 0.5263726976330918, 0.5884106788424442, 0.6472379309902337, 0.708196379608018, 0.7674365653206607, 0.8217705888734522, 0.8424009184897959, 0.8682246107631976, 0.8901419577269183, 0.9119399665607977, 0.9321276440355014, 0.950111412726917, 0.9660549933758347, 0.9774485318306866, 0.9902897323361695, 0.9943042009556589, 0.997870625540047]","[0.8495752963879488, 0.769257499080565, 0.7988484369571662, 0.6408068856450959, 0.6496311168915757, 0.7375603356139228, 0.8151207142020394, 0.8329399286462854, 0.8508240173209576, 0.874443163616871, 0.8958320674514055, 0.8952054051910107, 0.8957006893351921, 0.9471835720923403, 0.9667727258585734, 0.9786453003498745, 0.9859709334498529, 0.9911670691164044, 0.9944462525285943, 0.9966532746680754, 0.9980188780759163, 0.9988811062035897, 0.9993877358887833, 0.9996057079000338, 0.9997562643649789, 0.9998528561354019, 0.9999222832048158, 0.9999712156713284, 0.9999898594043451, 0.9999967138762625, 0.999999011365482, 0.9999997308623282, 0.9999999335120584, 0.9999999854182008, 0.9999999971658492, 0.999999999418628, 0.999999999894733, 0.9999999999841233, 0.9999999999984666, 0.9999999999998787, 0.9999999999999921, 0.9999999999999996, 1.0, 0.9999999995629543, 0.9999999999217307, 0.7628342511934514, 0.7598159942770263, 0.7461573421619442, 0.7366726629204651, 0.7893775881016707, 0.8035651796593949, 0.8322266512036065, 0.8649293209505199, 0.8889492757097367, 0.9128828382191871, 0.9335181755275189, 0.9402496742626232, 0.9446147552113311, 0.9503249402889008, 0.9651184484715807, 0.9716923879501621, 0.9767173887662374, 0.9816497844541926, 0.9900012824683594, 0.9943752760008752, 0.9970830248534231, 0.9984922164727681, 0.9992772232300314, 0.9996628777411558, 0.9998540534122248, 0.9999402512932128, 0.9999728017178534, 0.9999881491202983, 0.9970201655464472, 0.5925676629693571, 0.6288312651442498, 0.6679547316146912, 0.6662880283992356, 0.7114476395348874, 0.7548554133289506, 0.7587634024524194, 0.7806060366219747, 0.8112616120353934, 0.8433718323920758, 0.8738396971210163, 0.8988820976550868, 0.9216214960099681, 0.9411348568803984, 0.9571532715620408, 0.9628218159540053, 0.9696251943727326, 0.9751597617999389, 0.9804588831029613, 0.9851936993818758, 0.9892785710130851, 0.992799823543457, 0.9952605807710108, 0.9979802469569176, 0.9988190551850715, 0.9995597554736665]",127.90203355814262,263.80406711628524,274.2247478602376
8,"[1.1184076277011048, 0.7509850264535918, 0.046335301236991824, 1.9319654241832693]",[5.95811194e-01 1.25956447e-01 1.00000000e-04 1.40879488e+00],[0.45587817 0.44098689 0.50955645 0.46737137],[0.50815127 0.25773153 0.18344196 0.05067524],[0. 0. 0. 0.],"[0.0005645220433053294, 0.00047194423227621434, 0.0005662968398012718, 0.0005109394814717082, 0.00022661588468374366, 0.00043331997071892336, 0.000649993759363247, 0.001092740580388942, 0.0012931262552809966, 0.0026667776769674005, 0.0036028479551751713, 0.01210029238051554, 0.03308627735017041, 0.09577019195356085, 0.2700319982510618, 0.4635596826965013, 0.7935911517351045, 0.9437297010400174, 0.9878533654233399, 0.9979050441992707, 0.9997542315786393, 0.9999882834268341, 0.9999996255926652, 0.9999999924812114, 0.9999999998634562, 0.9999999999988899, 1.0, 0.9999999104372818, 0.9999999972169492, 0.9999999999345034, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.017247654515395713, 0.03425018422576979, 0.07779077753478461, 0.29546847365750945, 0.718384108799358, 0.9187598516267955, 0.9847440395276309, 0.9979144556159028, 0.9998835800192974, 0.0004885521386687737, 0.0005938704208286754, 0.0007759000686604389, 0.0018903099853563156, 0.0027702553748849535, 0.004486364356832879, 0.008242800498428097, 0.017804119900126748, 0.06627217406901599, 0.17168068192790456, 0.00035068495788646885, 9.033578880531476e-05, 9.906464612221515e-05, 0.00013950924935559025, 0.00014912698782542787, 0.0001557368157503088, 0.00016767711045675762, 0.0001865679910967929, 0.0002225126735307229, 0.0004775414225684731, 0.0011235814772554296, 0.001692046233014892, 0.002893708826131282, 0.00545697802208603, 0.011568279047387922, 0.0027927587301413955, 0.004991346649178691, 0.010135565684016115, 0.03554835972207643, 0.0923497854560011, 0.2563372303294347, 0.6640277470209512, 0.00010031800220882177, 0.00016217922019721716, 0.0001872252926336556, 0.00022900500745936974, 0.0003271223581141155, 0.0004386638576811177, 0.0010024405692100925, 0.002165411966234366, 0.0037542158598128754, 0.0001784587290948573, 0.00021651004111900805, 0.00027832622203791314, 0.000381427171895098, 0.0008877201675062033, 0.0014766991223418818, 0.002708756495549002]","[0.8495752963879488, 0.8252114489053809, 0.8499762329011279, 0.8363739295175939, 0.6938568560796385, 0.8125460905342148, 0.8667291235109358, 0.9162357396856003, 0.9282985078974625, 0.9639463074683605, 0.9730858220620734, 0.9919010489572471, 0.9970858239056998, 0.9990566301338889, 0.9997297195536945, 0.9998842798665263, 0.999973988605941, 0.9999940368952136, 0.9999987702795933, 0.999999790043663, 0.9999999754146582, 0.9999999988282118, 0.9999999999625555, 0.999999999999248, 0.9999999999999863, 0.9999999999999999, 1.0, 0.9999999999910428, 0.9999999999997217, 0.9999999999999934, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9943338288127748, 0.9971879555710532, 0.998815786035897, 0.9997615874235765, 0.9999607963190342, 0.9999911568235634, 0.999998450616407, 0.9999997909888456, 0.9999999883554821, 0.8301463291135408, 0.8559418007482977, 0.8859000934078592, 0.9498420182973036, 0.9652497025961874, 0.9782898095785018, 0.9881100691267312, 0.9945130435539933, 0.9985929128577167, 0.9995177077484504, 0.7781588024430987, 0.4746103223834766, 0.4976503939771248, 0.5824891996121884, 0.5986100912322813, 0.6089862733623855, 0.62643141246337, 0.6510623432236569, 0.6899608776151681, 0.8269063069193497, 0.9183495403467654, 0.9442817662275225, 0.9666868374220676, 0.9820992923570917, 0.9915272188132312, 0.9655208083894413, 0.9804530342699184, 0.9903272516396943, 0.997294001644383, 0.9990180273756304, 0.9997099440385475, 0.999949401383656, 0.5007938229695003, 0.6185961909672828, 0.6518610438605646, 0.6960805548634013, 0.765915783379189, 0.8144066753218722, 0.9093666092747035, 0.9559450820865242, 0.9741467541592315, 0.6408984145886236, 0.6840794414073035, 0.7357125327827984, 0.7923305844146026, 0.8988284397974533, 0.936658151169678, 0.9644866459893601]",134.9100459429222,277.8200918858444,288.2407726297968
