participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,137.23208099085053,"[0.6720321323021008, 0.5634296390496337]",[4.77819312e-04 9.99900000e-01],278.46416198170107,283.67450235367727
2,115.08166446134697,"[1.9597368553213423, 0.1849668567064087]",[2.36881353e+00 1.00000000e-04],234.16332892269395,239.37366929467012
3,138.62957138628477,"[1.922433096700779, 0.011854714435583384]",[0.0001 0.0001],281.25914277256953,286.46948314454573
4,135.97720928671816,"[0.37523189861397105, 0.8532910885834122]",[6.28885159e-04 9.88668535e-01],275.9544185734363,281.16475894541253
5,135.9074670668534,"[3.475289900695129, 0.06719852371968625]",[0.00130213 0.48525714],275.8149341337068,281.025274505683
6,138.44044116015843,"[2.749824497989137, 0.06607055191871579]",[0.00074097 0.25558459],280.88088232031686,286.09122269229306
7,138.03343463480775,"[0.29233185179191645, 0.8790470291960398]",[2.77449145e-04 9.99900000e-01],280.0668692696155,285.2772096415917
8,135.64288024297534,"[0.7167183120266815, 0.9045811192379606]",[0.00109873 0.58582052],275.2857604859507,280.4961008579269
9,134.1665474906488,"[1.4627729323187875, 0.1588179865229261]",[8.1172417e-04 9.9990000e-01],272.3330949812976,277.5434353532738
10,138.48828505602594,"[0.21346472720621082, 0.6183427551816216]",[1.06375795e-04 9.99900000e-01],280.9765701120519,286.1869104840281
11,130.35593025314796,"[0.9715913205083323, 0.03755301299415537]",[2.03156845e+00 1.00000000e-04],264.7118605062959,269.9222008782721
12,127.03898284260036,"[0.005424511933738704, 0.1357605253927994]",[2.20675834e+00 1.00000000e-04],258.07796568520075,263.2883060571769
13,138.0038989352712,"[1.4419870866538118, 0.5994852509626082]",[0.00122575 0.25878949],280.0077978705424,285.2181382425186
14,138.35144635611636,"[1.8210377168846574, 0.17151547167716952]",[2.03644595e-04 9.99900000e-01],280.7028927122327,285.9132330842089
15,134.96020454661522,"[0.16094953194857306, 0.875526873593018]",[9.3710247e-04 9.9990000e-01],273.92040909323043,279.13074946520663
16,128.3017840627715,"[0.070277098498077, 0.03365711647916167]",[2.08388393e+00 1.00000000e-04],260.603568125543,265.8139084975192
17,138.18918098264137,"[1.710053684505602, 0.10682621142000641]",[2.78400704e-04 9.87306768e-01],280.37836196528275,285.58870233725895
18,130.719339772854,"[0.786593018323318, 0.5388551839390269]",[0.00122618 0.89460837],265.438679545708,270.6490199176842
19,138.18228810583506,"[0.3676092946676411, 0.02376280492095383]",[9.0450516e-01 1.0000000e-04],280.3645762116701,285.5749165836463
20,104.0767125446026,"[2.537608843790414, 0.06934242321160367]",[2.69792023e+00 1.00000000e-04],212.1534250892052,217.36376546118137
21,134.39163906796887,"[0.38376831443661, 0.5864497219313315]",[0.00215194 0.49159526],272.78327813593773,277.99361850791394
22,138.3302911110568,"[0.4365512084166446, 0.3303810497163374]",[3.12105272e-04 9.99900000e-01],280.6605822221136,285.8709225940898
23,136.18415524655097,"[0.15404586293350467, 0.8819017309759065]",[5.87549461e-04 9.99900000e-01],276.36831049310194,281.57865086507815
24,138.62950324098662,"[4.94457691079421, 0.05713147531174937]",[0.0001 0.0001],281.25900648197324,286.46934685394945
25,128.85910580135305,"[3.79133520164225, 0.07175772669307018]",[1.95620579e+00 1.00000000e-04],261.7182116027061,266.9285519746823
26,133.06184781012354,"[1.4513221713180835, 0.15881764180861438]",[0.00173388 0.69651958],270.1236956202471,275.3340359922233
