participant_id,best_nll,best_initial_guess,best_parameters,AIC,BIC
1,138.54119759310763,"[2.9646898106761244, 0.3267209969479998]",[1.1083501 0.9999   ],281.08239518621525,286.29273555819145
2,114.46151545755744,"[0.1872595812495173, 0.8010340492582638]",[0.0012951  0.00770736],232.92303091511488,238.13337128709105
3,138.62944765148072,"[1.2762160391856607, 0.16802456257924583]",[1.000e-04 9.999e-01],281.25889530296143,286.46923567493764
4,138.6294379005865,"[1.6701668323696237, 0.4146108346611888]",[1.000e-04 9.999e-01],281.258875801173,286.4692161731492
5,138.62947593917727,"[0.3304834125590774, 0.043446040150161735]",[1.000e-04 9.999e-01],281.25895187835454,286.46929225033074
6,138.3797032346087,"[0.02916857188831591, 0.14023063645125688]",[0.00028552 0.08314528],280.7594064692174,285.9697468411936
7,131.03050724026107,"[2.9600437204627035, 0.4254484836294229]",[0.00588493 0.58230708],266.06101448052215,271.27135485249835
8,134.10057268083335,"[3.706374947806507, 0.4620381703706428]",[0.00250938 0.4539673 ],272.2011453616667,277.4114857336429
9,137.4806302714023,"[3.2379530077671395, 0.7980092408349745]",[1.97668046 0.9999    ],278.9612605428046,284.1716009147808
10,136.88562812977,"[4.663604106007183, 0.6208359619130753]",[2.23308251 0.9999    ],277.77125625954,282.9815966315162
11,130.36059688794674,"[0.01487636743113165, 0.3035565573975024]",[0.00075719 0.0001    ],264.7211937758935,269.9315341478697
12,127.0362357401329,"[0.6385549694675862, 0.10189421400819927]",[0.0009376 0.0001   ],258.0724714802658,263.282811852242
13,138.62945067142888,"[3.1876493013949365, 0.9126385334779468]",[1.000e-04 9.999e-01],281.25890134285777,286.46924171483397
14,138.6294429801266,"[3.035521976010257, 0.524989361392972]",[1.000e-04 9.999e-01],281.2588859602532,286.4692263322294
15,138.62944243327183,"[2.562668605125157, 0.36647467454719923]",[1.000e-04 9.999e-01],281.25888486654367,286.46922523851987
16,128.31286225962205,"[1.3165881407702669, 0.8297451548203096]",[0.00080733 0.0001    ],260.6257245192441,265.8360648912203
17,138.41937881905653,"[0.7173098425587673, 0.6906654311489175]",[1.39803859 0.9999    ],280.83875763811307,286.04909801008927
18,128.15464068956715,"[0.925807716856862, 0.3318074336112625]",[0.01638985 0.78770817],260.3092813791343,265.5196217511105
19,138.18351688252167,"[0.35052392019524187, 0.14511510535894606]",[0.00015483 0.0001    ],280.36703376504335,285.57737413701955
20,104.0576011252187,"[0.7222283119920728, 0.28607761105523155]",[0.00167175 0.0001    ],212.1152022504374,217.32554262241356
21,138.62944311859619,"[4.319448168018953, 0.7430617021069743]",[1.000e-04 9.999e-01],281.25888623719237,286.4692266091686
22,138.6294729218749,"[0.3767629761374823, 0.3898693556826474]",[1.000e-04 9.999e-01],281.2589458437498,286.469286215726
23,125.1202474566852,"[1.6783502264341021, 0.7029733830950907]",[0.0203375  0.80096113],254.2404949133704,259.4508352853466
24,138.6295208543128,"[1.8355941570585024, 0.08515721654204537]",[1.000e-04 9.999e-01],281.2590417086256,286.4693820806018
25,124.65600377360529,"[0.9530270176346441, 0.8603509580241383]",[0.00126031 0.02993605],253.31200754721058,258.52234791918676
26,138.05515268243855,"[0.5970692741754139, 0.8365979907795448]",[0.0138878  0.95874316],280.1103053648771,285.3206457368533
27,138.08776185642486,"[0.6093236526560623, 0.07371308837956317]",[0.00027118 0.03103402],280.1755237128497,285.3858640848259
28,138.62947456601563,"[2.811816880521601, 0.8384762184973749]",[1.000e-04 9.999e-01],281.25894913203126,286.46928950400746
29,73.07455473454574,"[0.5797922442382917, 0.3857721648384319]",[0.00252423 0.0001    ],150.14910946909148,155.35944984106766
30,121.61966651551845,"[0.10111442304118116, 0.026518077938051426]",[0.00088937 0.0001    ],247.2393330310369,252.44967340301307
31,138.62946811558666,"[1.0725850222186022, 0.7328829611466992]",[1.000e-04 9.999e-01],281.2589362311733,286.4692766031495
32,136.45020182810103,"[1.7268333189029292, 0.27950891522774424]",[0.00042888 0.0001    ],276.90040365620206,282.11074402817826
33,137.03733923709527,"[1.2291481797417971, 0.004771963423223879]",[0.00036166 0.0001    ],278.07467847419053,283.28501884616674
34,115.07847655698541,"[0.6288386824862863, 0.45476981686791024]",[0.01235365 0.61055725],234.15695311397081,239.367293485947
35,138.6294850105621,"[2.080904426057556, 0.9090339670784027]",[1.000e-04 9.999e-01],281.2589700211242,286.4693103931004
36,138.20302408699288,"[2.064835759796593, 0.20835932727166653]",[0.00080684 0.43172638],280.40604817398577,285.61638854596197
37,107.28519755192717,"[4.250712261362821, 0.6726458043339506]",[0.09211696 0.90695676],218.57039510385434,223.7807354758305
38,138.62947800390373,"[1.7742406877663235, 0.9291942551573047]",[1.000e-04 9.999e-01],281.25895600780746,286.46929637978366
39,135.4633209839657,"[1.800431259783498, 0.15732020880988157]",[1.99189761 0.99977784],274.9266419679314,280.1369823399076
40,118.38213502978374,"[4.483178394765694, 0.6621112623923964]",[0.00714295 0.44579204],240.76427005956748,245.97461043154365
41,121.59273620739835,"[1.6614030324696532, 0.9045395952523492]",[0.00141968 0.02889297],247.1854724147967,252.39581278677286
42,119.9703092506753,"[3.5381048458231703, 0.6597551522099057]",[0.00230461 0.0749842 ],243.9406185013506,249.15095887332677
