"","X.2","X.1","X","Subnum","Sex","Race","Ethnicity","Big5O","Big5C","Big5E","Big5A","Big5N","Bis11Score","CESD","ESIBF_Disinhibition","ESIBF_SubstanceUse","NPI","PSWQ","STAIS","STAIT","TPM_Boldness","TPM_Disinhibition","TPM_Meanness","Condition","ReactTime","Reward","BestOption","KeyResponse","SetSeen.","OptionRwdMean","Phase","subjID","trial","DeltaTVal","DeltaAVal","delta_bestValue","DecayTVal","DecayAVal","decay_bestValue","decayWinTVal","decayWinAVal","decayWin_bestValue","decayLossTVal","decayLossAVal","decayLoss_bestValue","PVLDecayITParam","PVLDecayDecayparam","PVLDecayShape","PVLDecayLossAversion","PVLDecay_bestValue","PVLDeltaITParam","PVLDeltaRecencyparam","PVLDeltaShape","PVLDeltaLossAversion","PVLDelta_bestValue","PVPEDecayITParam","PVPEDecayDecayParam","PVPEDecayShape","PVPEDecayWeightPosPE","PVPEDecay_bestValue","DeltaUncertaintyITParam","DeltaUncertaintyDecayParam","DeltaUncertaintyShape","DeltaUncertaintyWeightPosPE","DeltaUncertainty_bestValue","deltaBIC","decayWinBIC","decayLossBIC","decayBIC","PVLDecayBIC","PVLDeltaBIC","PVPEDecayBIC","DeltaUncertaintyBIC"
"32251",63501,63501,63501,255,"Female","White","Hispanic or Latino",39,41,36,44,16,52,13,8,12,14,56,58,28,32,8,3,"Losses",11980,-0.748566979664579,0,4,"1",-0.75,"Train",130,1,1e-04,1e-04,172.593650105385,0.0826922899117716,0.287451117686093,172.323127430385,0.0525835355184375,0.99,172.554553187472,0.21668500737748,0.316776479612346,171.123318173438,0.0227663940697051,0.20923109572534,0,5,171.535575206389,1e-04,0.01,1,0,172.593670126108,0.212254696906539,0.316665701339245,0,0,171.123914856578,0.0026818828259309,0.15571063652808,0.5,1000,171.99268833508,356.222206003699,356.144012167874,353.281542139806,355.681160653699,365.140961998637,367.257151838076,364.317641299014,366.055188256018
"32501",65001,65001,65001,261,"Male","White","Not Hispanic or Latino",29,21,26,31,36,92,48,23,8,8,73,53,63,23,25,14,"Gains",4014,0.720070662142748,0,4,"1",0.25,"Train",131,1,0.0403714594820548,0.766543635989515,172.56836598952,0.500974513148219,0.293953726300931,163.812909160514,0.574246420003612,0.262256212193158,156.186290786854,1e-04,0.298383484124651,172.595131425685,0.0746677612402267,0.01,0,0,158.921320721926,0.103968788460927,0.729255681149829,1,0,172.47948829731,0.573989394550536,0.262269534339926,0,1,156.186337225883,0.0126473116600679,0.174798885420128,0.5,791.232812320731,163.474619574799,356.17163777197,323.407487366637,356.2251686443,338.660724113958,339.91245302971,367.028788180478,334.442486037625,349.019050735456
"32751",66001,66001,66001,265,"Female","White","Not Hispanic or Latino",34,42,21,38,25,50,13,6,0,11,59,38,46,30,7,5,"Losses",5859,-1.04666872996472,1,1,"0",-0.35,"Train",132,1,1.65780458198287,1,57.4961380785272,1e-04,0.99,172.594375486296,0.290800768083594,0.0382050298112636,97.9249312620532,1e-04,0.99,172.594924324935,0.919645167999945,0.01,0.260833280346271,0.13071323132669,77.9802804914195,2.61363130983259,0.99,1,0.264567224377402,52.7091416796586,0.809547767217639,0.019091980290912,0.0277291476944922,0.429852186793676,66.3886753038982,1.60129626221415,0.99,0.5,0.397445112899257,55.905476566531,126.027181949984,206.884768317036,356.224754442798,356.223656765521,178.030372568698,127.488094945176,154.847162193655,133.880764718921
"33001",66251,66251,66251,266,"Female","White","Not Hispanic or Latino",35,30,19,33,25,56,33,7,0,4,58,46,57,9,9,1,"Gains",7998,1.15208637638432,0,4,"1",0.25,"Train",133,1,0.396872852395471,0.238327504186236,171.240992508307,0.0975420485447364,0.050459808280993,168.601329402464,0.115635505924807,0.0559353272651579,168.460087617168,0.0534828083084824,0.749247385489783,172.550982637719,0.102965900891672,0.0503045587611557,1,0,168.529818811769,0.186963633310271,0.268366325494719,0.234942001218046,5,170.689756119685,0.247042149078382,0.0694690314373364,0.711869989766195,1,167.268320824879,0.307056259278301,0.0699234550016918,0.5,15.5039151715018,166.535623683197,353.516890809543,347.955081027265,356.136871068367,348.237564597858,359.129449209396,363.44932382523,356.606453235617,355.141058952252
"33251",66501,66501,66501,267,"Male","White","Not Hispanic or Latino",49,36,27,35,38,71,28,16,18,17,69,60,51,33,14,8,"Losses",6845,-0.468234778092514,1,3,"1",-0.25,"Train",134,1,1.65052903680316,0.19832815596864,105.208151307641,0.453101775582251,0.468667959387496,170.092826421992,0.188360127977194,0.0315422026672565,144.274703484258,0.206475374177293,0.464521960875031,171.750438914282,0.447753386461365,0.01,0,0.0528197511957761,109.915683074489,2.71822261690316,0.0370740568700762,0,0.0422805289723722,102.69776239964,0.363302530479713,0.01,0.701218677524722,0.500805649517894,129.251503151546,1.650521827094,0.198331750686485,0.5,0,105.208151308746,221.451208408212,299.584312761445,354.535783621493,351.220558636913,241.901177734836,227.465336385138,280.572817888951,232.48611420335
"33501",67251,67251,501,3,"Male","White","Not Hispanic or Latino",41,22,15,36,27,69,28,25,45,20,73,42,63,30,25,19,"Losses",4398,-0.19708088134071,0,4,"1",-0.75,"Train",135,1,0.584624686529919,0.585291402930681,166.365652972207,0.338458613140036,0.99,171.703982332235,0.251347622186441,0.0810714382054096,161.601587719404,0.226851681928556,0.99,172.246844375213,0.459563294053746,0.0877127186022477,0,0,164.169170432642,0.189681756609352,0.618088249092777,0.592702321553305,5,166.024701759217,0.295825345419871,0.0810735116093002,0.158569322262485,1,161.527854058712,0.00531288537328199,0.0867176664361697,0.5,941.825197730895,166.211830049468,343.766211737344,334.238081231738,355.528594543356,354.442870457399,350.408152451143,354.119215104293,345.125519703282,354.493471684795
"33751",67751,67751,1001,5,"Male","White","Hispanic or Latino",21,24,13,33,29,82,26,19,33,1,70,47,57,14,19,20,"Gains",7242,0.0827202645319976,0,4,"1",0.25,"Train",136,1,0.687988537308974,0.867200177515984,154.282475935345,0.436466419767642,0.119004569285243,150.379881473464,0.361886198388094,0.0815192226415295,151.003081504009,1e-04,0.99,172.594317173398,0.371371016825202,0.105319803478001,0.457938681360286,2.0959798797386,149.655758104359,0.430397326688,0.99,1,5,149.945148126358,0.437223788246967,0.0803049761680175,0,0.858310087900097,150.573477167402,0.702495600513665,0.805629489641945,1.08127121673874,0.554352705736477,154.063964568442,319.599857663619,313.041068800948,356.223540139725,311.794668739858,321.381327794576,321.960107838576,323.216765920662,330.197740722742
"34001",68501,68501,1751,8,"Male","Prefer not to answer","Hispanic or Latino",35,28,30,36,26,64,29,20,9,8,51,41,49,16,21,15,"Losses",6603,-0.373990674273142,1,3,"1",-0.25,"Train",137,1,3.32821697789816,0.00213543376878694,162.408461735965,1e-04,0.99,172.594797967188,0.967680380532534,0.359397137583702,138.909534150831,1e-04,0.99,172.594982609963,0.172660829180645,0.01,0,0,147.971102203477,2.61046423374319,0.01,0,1.37781124867932e-05,148.38995624202,0.970352584687386,0.359406327462202,0,1,138.909822001061,0.0170051433133242,0.224912711639226,0.5,915.000710291629,136.884614735297,335.85182926486,288.853974094591,356.224871012856,356.224501727306,318.012015992814,318.849724069899,299.889455587981,295.839041056452
"34251",68751,68751,2001,9,"Female","White","Not Hispanic or Latino",32,40,29,41,25,52,22,9,15,10,75,37,40,21,13,12,"Gains",2726,0.426316792683526,1,3,"1",0.75,"Train",138,1,4.97603100514804,0.000457562780170893,141.846089221946,1.46286724113999,0.397155321563238,86.6400114079779,0.686082199371041,0.121986264121596,96.3757773510948,1e-04,0.99,172.598698056148,1.32894096290196,0.510305610139568,0,0,75.4415239993947,2.32086498544196,0.01,1,0,147.22156370614,0.68607684990691,0.121984746671328,0,1,96.3757773518432,0.013116892534608,0.215991646007338,0.5,1000,81.9449604346508,294.727084236822,203.786460495119,356.232301905225,184.314928608885,172.952859584648,316.512938998139,214.821366289545,185.95973245516
"34501",69001,69001,2251,10,"Female","White","Hispanic or Latino",34,26,30,42,29,67,18,11,22,13,76,41,56,21,12,1,"Gains",6038,0.466716865146598,1,1,"0",0.65,"Train",139,1,3.13161025265801,0.00409665294908727,137.820868910864,0.198708067430349,0.0463935107352095,132.896988353289,0.23390162561093,0.0450225025462877,132.827460568043,1e-04,0.99,172.593890273908,0.0659713118099274,0.0187252060324344,0,4.18735088588654,131.926626287631,0.765759646741693,0.102061151420633,0.146721881894242,5,135.008114843952,0.336773171495792,0.0450729469693822,0.318378202136434,0.909557508149335,132.360710536826,2.23377888074048,0.01,0.5,0.486757507668162,136.937215898387,286.676643614658,276.689826929015,356.222686340745,276.828882499507,285.92306416112,292.086041273762,286.791232659511,295.944243382633
