choice,trial_all,trial,partial_feedback,unchosen_outcome,unchosen_outcome_rel,outcome,outcome_rel,sub,phase,transfer_trial,transfer_choice
2.0,8.0,4.0,0.0,-0.1,0.0,-0.1,0.0,55,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,0.0,1.0,55,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,55,training,,
1.0,7.0,3.0,1.0,-1.0,0.0,-1.0,0.0,55,training,,
2.0,6.0,2.0,0.0,0.1,1.0,0.0,0.0,55,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,-0.1,0.0,55,training,,
2.0,8.0,4.0,0.0,0.0,1.0,0.0,1.0,55,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,0.0,1.0,55,training,,
2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,55,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,55,training,,
2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,55,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,55,training,,
2.0,6.0,2.0,0.0,0.0,0.0,0.1,1.0,55,training,,
2.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,55,training,,
2.0,7.0,3.0,1.0,0.0,1.0,0.0,1.0,55,training,,
2.0,7.0,3.0,1.0,-1.0,0.0,-1.0,0.0,55,training,,
1.0,7.0,3.0,1.0,0.0,1.0,-1.0,0.0,55,training,,
2.0,8.0,4.0,0.0,-0.1,0.0,0.0,1.0,55,training,,
2.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,55,training,,
2.0,7.0,3.0,1.0,-1.0,0.0,0.0,1.0,55,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,56,training,,
1.0,4.0,4.0,0.0,0.0,1.0,-0.1,0.0,56,training,,
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,-1.0,0.0,56,training,,
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,training,,
1.0,4.0,4.0,0.0,0.0,1.0,-0.1,0.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,56,training,,
2.0,2.0,2.0,0.0,0.1,1.0,0.1,1.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,56,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,56,training,,
1.0,4.0,4.0,0.0,-0.1,0.0,-0.1,0.0,56,training,,
1.0,4.0,4.0,0.0,-0.1,0.0,-0.1,0.0,56,training,,
2.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,56,training,,
2.0,2.0,2.0,0.0,0.1,1.0,0.1,1.0,56,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,56,training,,
1.0,4.0,4.0,0.0,0.0,1.0,-0.1,0.0,56,training,,
1.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,56,training,,
2.0,3.0,3.0,1.0,0.0,1.0,-1.0,0.0,56,training,,
1.0,4.0,4.0,0.0,0.0,1.0,-0.1,0.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,56,training,,
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,training,,
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,56,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,56,training,,
1.0,4.0,4.0,0.0,-0.1,0.0,-0.1,0.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,56,training,,
1.0,4.0,4.0,0.0,0.0,1.0,-0.1,0.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,56,training,,
1.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,-1.0,0.0,56,training,,
2.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,56,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,56,training,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,training,,
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,56,training,,
2.0,2.0,2.0,0.0,0.1,1.0,0.0,0.0,56,training,,
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,56,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,56,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,56,training,,
1.0,4.0,4.0,0.0,0.0,1.0,-0.1,0.0,56,training,,
2.0,2.0,2.0,0.0,0.1,1.0,0.1,1.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,56,training,,
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,56,training,,
2.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,56,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,-1.0,0.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,56,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,56,training,,
2.0,4.0,4.0,0.0,0.0,1.0,-0.1,0.0,56,training,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,training,,
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,56,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,56,training,,
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,56,training,,
2.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,56,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,56,training,,
2.0,2.0,2.0,0.0,0.1,1.0,0.1,1.0,56,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,-0.1,0.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,-1.0,0.0,56,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,56,training,,
2.0,2.0,2.0,0.0,0.0,0.0,0.1,1.0,56,training,,
2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,56,training,,
2.0,3.0,3.0,1.0,-1.0,0.0,0.0,1.0,56,training,,
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,56,training,,
2.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,56,training,,
2.0,4.0,4.0,0.0,-0.1,0.0,0.0,1.0,56,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.1,1.0,56,training,,
2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,56,training,,
2.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,56,training,,
1.0,7.0,3.0,0.0,0.0,1.0,0.0,1.0,56,training,,
1.0,7.0,3.0,0.0,0.0,1.0,-1.0,0.0,56,training,,
1.0,8.0,4.0,1.0,0.0,1.0,0.0,1.0,56,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,56,training,,
2.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,56,training,,
2.0,8.0,4.0,1.0,-0.1,0.0,0.0,1.0,56,training,,
1.0,8.0,4.0,1.0,0.0,1.0,-0.1,0.0,56,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,0.0,1.0,56,training,,
2.0,6.0,2.0,1.0,0.1,1.0,0.1,1.0,56,training,,
2.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,56,training,,
1.0,8.0,4.0,1.0,-0.1,0.0,-0.1,0.0,56,training,,
2.0,7.0,3.0,0.0,-1.0,0.0,-1.0,0.0,56,training,,
1.0,6.0,2.0,1.0,0.1,1.0,0.0,0.0,56,training,,
